app_id,app_name,category,genres,current_ver
1,,News_And_Magazines,News & Magazines,4.0.6
2,-   BJ,Video_Players,Video Players & Editors,4.0.7
3,- Free Comics - Comic Apps,Comics,Comics,5.0.12
4,058ba,News_And_Magazines,News & Magazines,1.0
5,1 FC Kln App,Sports,Sports,1.13.0
6,10 Best Foods for You,Health_And_Fitness,Health & Fitness,1.9
7,10 Minutes a Day Times Tables,Family,Education,1.2
8,10 WPM Amateur ham radio CW Morse code trainer,Communication,Communication,2.1.4
9,100 C Programs,Family,Education,1.0
10,100 Doors of Revenge,Family,Puzzle,2.2.2
11,10000 Quotes DB Premium,Books_And_Reference,Books & Reference,1.3
12,100000 Messages - DP Status Jokes & GIF 2018,Lifestyle,Lifestyle,DPSTATUS1.0.1
13,101 C Programming Problems,Family,Education,2.0
14,104 Looking for a job - looking for a job looking for a job looking for a part-time job health checkup resume treatment room,Business,Business,1.12.5
15,11st,Shopping,Shopping,7.8.1
16,12 Step Meditations & Sober Prayers AA NA AL-ANON,Lifestyle,Lifestyle,1.4.5
17,14thStreetVet,Medical,Medical,300000.1.11
18,17th Edition Cable Sizer,Books_And_Reference,Books & Reference,1.22
19,1800 Contacts - Lens Store,Medical,Medical,7.4.1
20,1LINE  One Line with One Touch,Game,Board,2.0.4
21,1st Fed CI Mobile Banking,Finance,Finance,6.0.0.1775
22,2 Amateur ham radio CW Morse code practice keys TX,Communication,Communication,1.0.9
23,2-Player Co-op Zombie Shoot,Game,Action,1.0.13
24,2000 AD Comics and Judge Dredd,Comics,Comics,1.3.0
25,2017 BN SM Sales Conference,Business,Business,v2.7.11.6
26,2017 EMRA Antibiotic Guide,Medical,Medical,1.0.5
27,2019 Tricks Es File Explores,Tools,Tools,1.0
28,2048 BTS J Hope KPop Puzzle Game,Family,Puzzle,1
29,2048AI,Family,Casual,0.33
30,20WPM Amateur ham radio Koch CW Morse code trainer,Communication,Communication,3.0.4
31,21-Day Meditation Experience,Health_And_Fitness,Health & Fitness,3.0.0
32,211CK,Game,Arcade,1.3
33,211CK Lite,Game,Action,1.0
34,23rd QM BDE EO,Business,Business,1.0.0
35,24 megapixel hd camera,Photography,Photography,1.1
36,247 BZ Reis,Travel_And_Local,Travel & Local,4.4.15
37,25 Mins Ako ay may lobo Etc Pinoy Kid Song Offline,Family,Entertainment,3.0
38,25WPM Amateur ham radio Koch CW Morse code trainer,Tools,Tools,2.0.3
39,2Date Dating App Love and matching,Dating,Dating,4.813
40,2Do - Reminders To-do List & Notes,Productivity,Productivity,2.8.12
41,2RedBeans,Dating,Dating,2.8.0
42,2ndLine - Second Phone Number,Communication,Communication,5.65.0
43,30 Day AB Challenge - Lumowell,Health_And_Fitness,Health & Fitness,1.0.3
44,30 Day Ab Challenge,Health_And_Fitness,Health & Fitness,3.2.1
45,30-Day Ab Challenge Tracker,Health_And_Fitness,Health & Fitness,1.2.6
46,30WPM Amateur ham radio Koch CW Morse code trainer,Family,Education,2.0.2
47,350 Diy Room Decor Ideas,Art_And_Design,Art & Design,1.0
48,360-M Flight,Tools,Tools,2.18
49,365Scores - Live Scores,Sports,Sports,5.5.9
50,3D Blue Glass Water Keyboard Theme,Personalization,Personalization,6.7.1
51,3D Bowling,Sports,Sports,3.1
52,3D Color Pixel by Number - Sandbox Art Coloring,Art_And_Design,Art & Design,1.2.3
53,3D Color by Number with Voxels,Family,Entertainment,1.3
54,3D DJ  DJ Mixer 2018,Family,Entertainment,1.1.12
55,3D DJ  Music Mixer with Virtual DJ,Family,Entertainment,6.6.8
56,3D Holograms Joke,Family,Simulation,1.5
57,3D Live Neon Weed Launcher,Personalization,Personalization,5.34.10
58,3D Metal Piano Keys Keyboard Theme,Food_And_Drink,Food & Drink,6.7.1
59,3D Tennis,Sports,Sports,1.7.7
60,3DAnimeGirl DX DreamPortrait KAWAII Girl DressUp,Family,Casual,1.5
61,3G DZ Configuration,Communication,Communication,6.2.3
62,3G to 4G Converter - Simulator,Tools,Tools,3.0.0
63,3G4G Config Dz,Tools,Tools,3.0.2
64,4 Paws PH,Medical,Medical,300000.1.11
65,4 in a row,Game,Board,1.0.21
66,4 x4 Offroad SUV 3D Truck Simulator Driving 2017,Family,Simulation,1.0
67,4-Ts Bar-BQ & Catering,Shopping,Shopping,1.0.1
68,420 BZ Budeze Delivery,Medical,Medical,1.0.1
69,4Eternity EO,Business,Business,1.2
70,4K Ultra Camera,Photography,Photography,39.272.12
71,4K VIDEO PLAYER ULTRA HD,Video_Players,Video Players & Editors,7.0
72,4K Wallpapers and Ultra HD Backgrounds,Personalization,Personalization,2.6.2.1
73,4x4 Jeep Racer,Game,Racing,1.5
74,5 Minute Ab Workouts,Health_And_Fitness,Health & Fitness,2.0.4
75,5 Minute Clinical Consult 2019 - 1 for 25 years,Medical,Medical,2.6.2
76,5 Minute Veterinary Consult Canine & Feline,Medical,Medical,2.6
77,5 Nights at Cube Pizzeria City,Game,Adventure,1.2
78,5-Minute Clinical Consult,Medical,Medical,2.7.36
79,50 Healthy Slow Cooker Recipes,Food_And_Drink,Food & Drink,1.2
80,500 AP World History Questions,Family,Education,1.2
81,50000 Free eBooks & Free AudioBooks,Books_And_Reference,Books & Reference,5.3.4
82,591 Housing Trading - Hong Kong,House_And_Home,House & Home,3.10.8
83,591 housing transactions - renting houses middle-class houses new cases real-time registration villas through the sky apartment suites MRT buying a house selling prices housing mortgages,House_And_Home,House & Home,3.5.9
84,7 Day Food Journal Challenge,Lifestyle,Lifestyle,3.6.3
85,7 Nights at Pixel Pizzeria - 2,Game,Adventure,1.3.0
86,7 Weeks - Habit & Goal Tracker,Productivity,Productivity,3.2.1
87,7 minute abs workout - Daily Ab Workout,Health_And_Fitness,Health & Fitness,2.01
88,8 Ball Pool,Game,Sports,4.0.0
89,8fit Workouts & Meal Planner,Health_And_Fitness,Health & Fitness,3.5.0
90,95Live -SG1 Live Streaming App,Dating,Dating,8.7.2
91,98point6,Medical,Medical,1.7.1 946
92,9th stage,Food_And_Drink,Food & Drink,2.0.0
93,A & B Taxi,Maps_And_Navigation,Maps & Navigation,0.19.13-SPECTRUM
94,A Call From Santa Claus,Family,Entertainment,4.2.3
95,A Manual of Acupuncture,Medical,Medical,2.1.35
96,A Mobile,Finance,Finance,5.4.4
97,A O Smith,Tools,Tools,3.0.22
98,A Word A Day,Family,Education,5.8
99,A hundred,Dating,Dating,3.9.2
100,A&E - Watch Full Episodes of TV Shows,Entertainment,Entertainment,3.1.4
101,A&W Restaurants,Food_And_Drink,Food & Drink,2.7.0
102,A-B repeater,Video_Players,Video Players & Editors,1.8
103,A-J Media Vault,Books_And_Reference,Books & Reference,5.62.1
104,A-Y Collection,Shopping,Shopping,1.2
105,A-Z App Store,Productivity,Productivity,1.0.5
106,A-Z Punjabi Songs & Music Videos 2018,Family,Entertainment,1.0.19
107,A-Z Screen Recorder -,Video_Players,Video Players & Editors,1.0
108,A41 WatchFace for Android Wear Smart Watch,Lifestyle,Lifestyle,7.0.1
109,AAFP,Medical,Medical,2.3.1
110,AAS-IN-ASIA 2018,Events,Events,1.1.9
111,AB Anywhere Mobile Banking,Finance,Finance,4.17.82
112,AB Blast Match 3,Family,Puzzle,1.13
113,AB Click2Shop,Shopping,Shopping,1.1.0.0
114,AB Crush Match 3,Family,Casual,1.1
115,AB Match,Family,Casual,1.0.4
116,AB Mobile App,Health_And_Fitness,Health & Fitness,2.1.0
117,AB Repeat Player,Video_Players,Video Players & Editors,4.1.1
118,AB Screen Recorder,Tools,Tools,2.8
119,ABAI CE Scanner,Family,Education,1.3
120,ABC News - US & World News,News_And_Magazines,News & Magazines,3.19.11
121,ABC Preschool Free,Education,EducationEducation,3.0
122,ABCmousecom,Family,EducationEducation,7.2.0
123,ABG Master,Medical,Medical,1.1
124,ABTO CY-ET1,Tools,Tools,2.0.0.0
125,AC & TV DVD Set Top Box - Remote control IR,Tools,Tools,1111.26
126,AC - Tips & News for Android,News_And_Magazines,News & Magazines,3.1.12
127,AC Air Conditioner Remote,Tools,Tools,1.1.1
128,AC Air condition TroubleshootRepairMaintenance,Books_And_Reference,Books & Reference,1.1
129,AC CE BJT Actorial,Family,Education,2.4
130,AC DC Power Monitor,Lifestyle,Lifestyle,1.2
131,AC Mobile Control,House_And_Home,House & Home,2.4
132,AC REFRIGERANT CAPACITY,Business,Business,1.0
133,AC REMOTE UNIVERSAL-PRO,Family,Entertainment,1.0
134,AC Remote Control,Tools,Tools,1.3
135,AC Remote Control Simulator,Family,Entertainment,1.0
136,AC Remote For LG,Tools,Tools,1.0
137,AC Remote for Carrier - NOW FREE,Tools,Tools,6.1.7
138,AC Remote for Daikin - NOW FREE,Tools,Tools,6.1.7
139,AC Remote for Haier - NOW FREE,Tools,Tools,6.1.7
140,AC Remote for LG - NOW FREE,Tools,Tools,6.1.7
141,AC Remote for Midea - NOW FREE,Tools,Tools,6.1.7
142,AC Remote for O General - NOW FREE,Tools,Tools,6.1.7
143,AC Remote for Samsung - NOW FREE,Tools,Tools,6.1.7
144,AC Remote for Sharp - NOW FREE,Tools,Tools,6.1.7
145,AC Troubleshooter,Tools,Tools,1.3
146,AC Universal Remote Control,Tools,Tools,1.17
147,AC WIFI,Tools,Tools,1.0.3
148,AC remote control mobile,Tools,Tools,1.3 acremotecontrol
149,AC-BL,Communication,Communication,1.7
150,ACCDB MDB DB Manager Pro - Editor for MS Access,Productivity,Productivity,1.0.8
151,ACCEPT CE MARKING,Productivity,Productivity,1.0
152,ACE Elite,Finance,Finance,4.10.0
153,ACTIVEON CX & CX GOLD,Video_Players,Video Players & Editors,0.7.9
154,ADMIRALTY H-Note,Business,Business,2.0
155,ADP Mobile Solutions,Business,Business,3.4.2
156,ADS-B Driver,Tools,Tools,1.19
157,ADWLauncher 1 EX,Personalization,Personalization,1.3.3.9
158,AE  Aerie Jeans Dresses Swimsuits & Bralettes,Shopping,Shopping,5.6.0
159,AE 3D Moto 3,Game,Racing,1.7.1
160,AE Air Hockey,Sports,Sports,1.0.0
161,AE Angry Chef,Game,Action,1.0
162,AE Blackjack,Game,Card,1.3.1
163,AE Bulletins,Books_And_Reference,Books & Reference,2.2.5
164,AE Checkout Plugin,Shopping,Shopping,1.3.1
165,AE City Jump,Game,Action,1.0.4
166,AE Coin Mania  Arcade Fun,Game,Casino,2.3.5
167,AE Fishing Hunter,Game,Adventure,0.0.3
168,AE FreeCell,Game,Card,1.1.5
169,AE Garage,Auto_And_Vehicles,Auto & Vehicles,1.0
170,AE Gun Ball arcade ball games,Game,Arcade,1.0.2
171,AE Jewels,Game,Action,1.0.5
172,AE Jewels 2 Island Adventures,Game,Action,1.0
173,AE Lucky Fishing,Game,Arcade,2.0.2
174,AE Manager,Tools,Tools,1.0.0
175,AE Master Moto,Game,Racing,1.8.6
176,AE Order,Tools,Tools,2.0.131112
177,AE Roundy POP,Family,Casual,1.1.2
178,AE Solitaire,Game,Card,2.3.4
179,AE Sudoku,Family,Puzzle,1.1.0
180,AE Video Poker,Game,Casino,1.3.2
181,AEE AP,Photography,Photography,1.01
182,AEMETs time,Weather,Weather,2.0
183,AF Comics Reader - Free,Comics,Comics,1.0
184,AF Ev daresi 1 Snf,Family,Education,3.0
185,AF Hydro,Health_And_Fitness,Health & Fitness,1.0.5
186,AF Johannesburg,Family,Education,1.0.3
187,AF Legendary 2017,Business,Business,v2.7.11.6
188,AF Link,News_And_Magazines,News & Magazines,v4.29.0.9
189,AF Nutrition - Integratori,Health_And_Fitness,Health & Fitness,1.3
190,AF Our Time to Shine,Business,Business,v2.7.10.6
191,AF-STROKE,Medical,Medical,1.3
192,AF-STROKE FREE,Medical,Medical,1.1
193,AG Contacts Lite edition,Communication,Communication,8.05.18.14250
194,AG Contacts Premium edition,Communication,Communication,8.05.18.14250
195,AG Drive 3D,Game,Adventure,1.0.1
196,AG EMS Tour,Family,Entertainment,1.35
197,AG Fast Service Automotive,Auto_And_Vehicles,Auto & Vehicles,1.0.8
198,AG Screen Recorder,Tools,Tools,3.0
199,AG Subway Simulator Lite,Family,Simulation,1.2.6
200,AG Subway Simulator Mobile,Family,Simulation,1.3.0.6
