date_id,release_date,release_month,release_year
1,2018-01-07,January,2018
2,2018-01-15,January,2018
3,2018-01-01,January,2018
4,2018-06-08,June,2018
5,2018-06-20,June,2018
6,2017-03-26,March,2017
7,2018-04-26,April,2018
8,2018-06-14,June,2018
9,2018-07-03,July,2018
10,2017-10-27,October,2017
11,2018-07-31,July,2018
12,2018-04-02,April,2018
13,2018-06-26,June,2018
14,2018-06-06,June,2018
15,2017-11-07,November,2017
16,2018-07-30,July,2018
17,2018-04-20,April,2018
18,2018-03-20,March,2018
19,2018-07-12,July,2018
20,2018-03-07,March,2018
21,2018-07-07,July,2018
22,2018-04-25,April,2018
23,2017-10-11,October,2017
24,2018-03-21,March,2018
25,2018-05-31,May,2018
26,2018-07-19,July,2018
27,2018-01-06,January,2018
28,2018-04-27,April,2018
29,2018-07-11,July,2018
30,2017-11-29,November,2017
31,2018-03-31,March,2018
32,2018-07-20,July,2018
33,2018-04-15,April,2018
34,2018-01-03,January,2018
35,2017-11-14,November,2017
36,2017-12-17,December,2017
37,2018-05-28,May,2018
38,2018-05-10,May,2018
39,2018-07-26,July,2018
40,2018-07-18,July,2018
41,2018-07-29,July,2018
42,2018-07-08,July,2018
43,2018-07-28,July,2018
44,2018-06-12,June,2018
45,2016-10-14,October,2016
46,2018-07-16,July,2018
47,2018-07-27,July,2018
48,2018-07-04,July,2018
49,2018-03-27,March,2018
50,2018-07-15,July,2018
51,2018-07-24,July,2018
52,2018-07-23,July,2018
53,2018-05-16,May,2018
54,2018-06-02,June,2018
55,2018-04-21,April,2018
56,2017-11-09,November,2017
57,2018-05-15,May,2018
58,2018-02-28,February,2018
59,2018-07-25,July,2018
60,2018-06-21,June,2018
61,2018-04-09,April,2018
62,2018-03-01,March,2018
63,2018-04-05,April,2018
64,2017-11-21,November,2017
65,2017-10-18,October,2017
66,2018-05-29,May,2018
67,2018-05-14,May,2018
68,2018-07-17,July,2018
69,2018-07-02,July,2018
70,2018-06-07,June,2018
71,2017-12-11,December,2017
72,2018-05-24,May,2018
73,2018-06-01,June,2018
74,2017-03-01,March,2017
75,2018-01-24,January,2018
76,2017-07-31,July,2017
77,2018-01-21,January,2018
78,2018-05-27,May,2018
79,2018-05-17,May,2018
80,2018-07-13,July,2018
81,2018-06-25,June,2018
82,2018-06-29,June,2018
83,2017-11-23,November,2017
84,2014-10-16,October,2014
85,2018-06-16,June,2018
86,2018-06-15,June,2018
87,2018-02-15,February,2018
88,2016-04-13,April,2016
89,2018-02-08,February,2018
90,2018-07-10,July,2018
91,2018-03-26,March,2018
92,2018-01-31,January,2018
